record_num,timestamp,open,high,low,close,buy_count,sell_count,volume,volume_delta,cumulative_volume_delta,cumulative_volume
0,2025-06-11 18:00:00,6076.75,6080.25,6074.50,6075.00,11,14,34,-3,-3,34
1,2025-06-11 18:01:00,6075.25,6075.75,6075.25,6075.75,5,3,8,2,-1,42
2,2025-06-11 18:02:00,6075.00,6075.00,6073.75,6074.75,12,7,19,5,4,61
3,2025-06-11 18:03:00,6074.00,6075.25,6073.50,6074.75,5,12,17,-7,-3,78
4,2025-06-11 18:04:00,6074.25,6074.25,6074.00,6074.00,1,2,3,-1,-4,81
5,2025-06-11 18:05:00,6074.25,6076.50,6074.25,6076.50,3,3,6,0,-4,87
6,2025-06-11 18:06:00,6076.75,6077.75,6076.75,6077.75,2,2,4,0,-4,91
7,2025-06-11 18:07:00,6078.50,6078.50,6078.50,6078.50,1,0,1,1,-3,92
8,2025-06-11 18:08:00,6078.50,6079.50,6078.50,6078.75,14,4,18,10,7,110
9,2025-06-11 18:10:00,6078.50,6079.25,6078.50,6079.25,1,2,3,-1,6,113
10,2025-06-11 18:12:00,6079.25,6079.25,6078.75,6078.75,3,3,6,0,6,119
11,2025-06-11 18:13:00,6078.75,6079.50,6078.75,6079.50,4,4,8,0,6,127
12,2025-06-11 18:14:00,6080.00,6080.00,6080.00,6080.00,1,0,1,1,7,128
13,2025-06-11 18:15:00,6079.00,6079.00,6079.00,6079.00,1,1,2,0,7,130
14,2025-06-11 18:16:00,6079.50,6079.50,6079.50,6079.50,0,1,1,-1,6,131
15,2025-06-11 18:17:00,6079.75,6079.75,6078.75,6078.75,1,3,4,-2,4,135
16,2025-06-11 18:18:00,6079.00,6079.00,6078.75,6079.00,6,2,8,4,8,143
17,2025-06-11 18:19:00,6078.50,6078.50,6078.50,6078.50,0,3,3,-3,5,146
18,2025-06-11 18:20:00,6078.25,6078.75,6078.25,6078.75,2,5,7,-3,2,153
19,2025-06-11 18:21:00,6079.25,6079.25,6079.25,6079.25,1,2,3,-1,1,156
20,2025-06-11 18:22:00,6079.75,6080.75,6079.75,6080.50,5,4,9,1,2,165
21,2025-06-11 18:23:00,6080.50,6081.25,6080.50,6081.00,22,17,39,5,7,204
22,2025-06-11 18:24:00,6080.75,6081.00,6080.75,6081.00,9,5,14,4,11,218
23,2025-06-11 18:25:00,6081.00,6081.00,6080.25,6080.75,1,3,4,-2,9,222
24,2025-06-11 18:26:00,6081.75,6082.25,6081.25,6081.25,12,21,33,-9,0,255
25,2025-06-11 18:27:00,6081.75,6083.00,6081.75,6083.00,13,9,22,4,4,277
26,2025-06-11 18:28:00,6083.25,6083.75,6082.75,6083.25,12,5,17,7,11,294
